Institution 1,Institution 2,Institution 3,Serial Number,Chinese Title,Pinyin Title,English Title,Alt Title,Year Range,Note,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,111, 左長史 ,zuo zhang shi,Left Administrator,alt. 王府長史 wang fu zhang shi; 王府左長史 wang fu zuo zhang shi,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,112, 右長史 ,you zhang shi,Right Administrator,alt. 王府長史 wang fu zhang shi; 王府右長史 wang fu you zhang shi ,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,113, 典簿 ,dian bu,Archivist,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,114, 審理正（審理所） ,shen li suo shen li zheng,Director of the Disciplinary Office,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,115, 審理副（審理所）,shen li suo shen li fu,Vice Director of the Disciplinary Office,,,,,"Abolished in Jiajing 44 (1565), per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,116, 典膳正（典膳所）,dian shan suo dian shan zheng,Director of the Foods Office,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,117, 典膳副（典膳所）,dian shan suo dian shan fu,Vice Director of the Foods Office,,,,,"Abolished in Jiajing 44 (1565) Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,118, 奉祠正（奉祠所）,119 feng ci suo feng ci zheng,Director of the Sacrificial Office,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,120, 奉祠副（奉祠所）,feng ci suo feng ci fu,Vice Director of the Sacrificial Office,,,,,"Abolished in Jiajing 44 (1565), per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,121, 典樂（奉祠所）,feng ci suo dian yue,Manager of Music in the Sacrificial Office,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,122, 典寶正（典寶所）,dian bao suo dian bao zheng,Director of the Seals Office,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,123, 典寶副（典寶所） ,dian bao suo dian bao fu,Vice Director of the Seals Office,,,,,"Abolished in Jiajing 44 (1565), per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,124, 紀善（紀善所）,ji shan suo ji shan,Moral Mentor in the Moral Mentor’s Office,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,125, 良醫正（良醫所）,liang yi suo liang yi zheng,Director of the Medical Office,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,126, 良醫副（良醫所）,liang yi suo liang yi fu,Vice Director of the Medical Office,,,,,"Abolished in Jiajing 44 (1565), per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,127, 典儀正（典儀所）,dian yi suo dian yi zheng,Director of the Ceremonies Office,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,128, 典儀副（典儀所）,dian yi suo dian yi fu,Vice Director of the Ceremonies Office,,,,,"Abolished in Jiajing 44 (1565) per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,129, 工正（工正所）,gong zheng suo gong zheng,Foreman of the Construction Office,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,130, 工副（工正所）,gong zheng suo gong fu,Assistant Foreman of the Construction Office,,,,,"Abolished in Jiajing 44 (1565), per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,131, 伴讀,ban du,Reader-companion for a Prince,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,132, 伴講,ban jiang,Lecturer-companion for a Prince,,,,,"Established during the Jianwen Reign, per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,133, 伴書 ,ban shu,Secretary-companion for a Prince,,,,,"Established during the Jianwen Reign, per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,134, 賓輔,bin fu,Companion for a Prince,alt. 親王賓輔 qin wang bin fu,,,,"Established during the Jianwen Reign, per Ming Shi, juan 75"
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,135, 教授,jiao shou,Instructor,alt. 王府教授 wang fu jiao shou,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,136, 引禮舍人,yin li she ren,Houseman Receptionist,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,137, 倉大使 ,cang da shi,Granary Commissioner,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,138, 倉副使,cang fu shi,Granary Vice Commissioner,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,139, 庫大使,ku da shi,Storehouse Commissioner,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,140, 庫副使,ku fu shi,Storehouse Vice Commissioner,,,,,
皇族宮廷類 Imperial Family and Royal Court, 宗室門 The Imperial Clan,王府長史司 Princely Establishment,141, 賓友,bin you,Companion to a Commandery Prince,alt. 郡王賓友 jun wang bin you,,,,"Established in a Commandery Princely Establishment during the Jianwen Reign, per Ming Shi, juan 75"
